Timestamp,Open,High,Low,Close,Volume
1550750400000,3893.0,3900.0,3888.5,3892.82,230.36
1550754000000,3891.65,3911.92,3887.7,3910.01,243.29
1550757600000,3910.01,3910.01,3898.45,3899.11,242.64
1550761200000,3899.1,3900.0,3891.47,3894.8,257.55
1550764800000,3894.8,3894.8,3883.98,3886.05,389.67
1550768400000,3886.04,3893.0,3886.04,3892.41,305.78
1550772000000,3892.42,3892.42,3878.0,3880.51,206.63
1550775600000,3880.52,3887.44,3880.0,3887.44,212.19
1550779200000,3887.44,3900.0,3887.43,3891.51,289.16
1550782800000,3891.51,3901.53,3891.5,3897.55,256.13
1550786400000,3897.55,3898.74,3885.93,3886.31,245.17
1550790000000,3886.01,3897.71,3886.01,3897.71,230.06
1550793600000,3897.71,3904.36,3897.05,3898.66,265.6
1550797200000,3898.67,3909.0,3897.54,3907.4,283.62
1550800800000,3907.72,3923.81,3907.19,3919.99,398.26
1550804400000,3920.0,3922.15,3912.86,3914.01,222.99
1550808000000,3914.01,3916.62,3913.99,3915.92,201.75
1550811600000,3915.91,3923.6,3914.5,3914.51,175.11
1550815200000,3914.51,3919.5,3913.99,3914.0,147.74
1550818800000,3913.99,3914.0,3886.15,3893.0,661.13
1550822400000,3893.0,3929.0,3890.5,3929.0,471.82
1550826000000,3929.0,3932.04,3918.5,3924.43,218.87
1550829600000,3924.43,3928.65,3916.79,3922.35,132.18
1550833200000,3922.39,3929.67,3917.78,3926.08,203.41
1550836800000,3926.08,3942.92,3924.99,3930.24,323.88
1550840400000,3930.24,3956.43,3930.0,3946.48,358.26
1550844000000,3946.48,3951.48,3933.47,3944.92,413.26
1550847600000,3944.92,3947.52,3921.22,3930.94,545.75
1550851200000,3930.94,3939.67,3927.14,3930.01,293.51
1550854800000,3930.01,3941.98,3924.28,3941.55,431.87
1550858400000,3941.56,3944.0,3940.7,3943.15,266.07
1550862000000,3943.14,3949.22,3937.5,3938.0,433.58
1550865600000,3938.0,3945.0,3930.99,3932.26,376.92
1550869200000,3932.26,3945.56,3930.99,3941.26,330.0
1550872800000,3941.95,3948.15,3940.99,3945.99,276.86
1550876400000,3946.0,3950.68,3942.01,3942.02,234.8
1550880000000,3942.02,3942.02,3932.24,3937.5,291.43
1550883600000,3937.5,3947.5,3936.24,3947.49,151.65
1550887200000,3947.5,3948.0,3939.39,3940.0,224.52
1550890800000,3940.0,3943.92,3938.0,3943.92,169.69
1550894400000,3943.92,3943.92,3921.0,3926.23,303.07
1550898000000,3926.23,3927.99,3915.44,3927.98,195.93
1550901600000,3927.99,3930.0,3923.05,3929.72,99.71
1550905200000,3929.71,3930.0,3924.85,3927.01,130.3
1550908800000,3927.0,3927.01,3911.3,3922.38,108.96
1550912400000,3922.38,3932.0,3914.27,3932.0,102.99
1550916000000,3932.0,3938.0,3930.55,3937.99,47.38
1550919600000,3938.0,3943.02,3933.61,3937.0,103.48
1550923200000,3937.01,3939.05,3931.6,3938.0,96.77
1550926800000,3937.99,3939.55,3930.0,3932.99,137.41
1550930400000,3932.99,3933.84,3932.13,3933.84,101.8
1550934000000,3933.83,3933.84,3912.27,3925.0,255.78
1550937600000,3925.0,3975.0,3922.55,3960.02,735.56
1550941200000,3957.14,4090.0,3948.34,4089.76,2994.64
1550944800000,4089.77,4134.45,4078.8,4093.6,1366.64
1550948400000,4093.59,4128.57,4093.59,4098.5,934.76
1550952000000,4098.5,4156.1,4098.5,4140.99,965.65
1550955600000,4140.99,4140.99,4105.01,4106.29,538.09
1550959200000,4106.29,4119.83,4100.0,4114.99,507.69
1550962800000,4114.99,4115.03,4106.0,4110.0,280.87
1550966400000,4110.0,4130.99,4109.99,4126.57,322.24
1550970000000,4126.57,4139.0,4118.64,4132.53,429.28
1550973600000,4132.52,4163.36,4129.0,4150.01,555.46
1550977200000,4150.01,4188.79,4144.99,4162.51,1025.56
1550980800000,4162.51,4169.34,4150.0,4151.0,481.69
1550984400000,4151.0,4163.64,4150.0,4159.0,196.6
1550988000000,4159.0,4168.99,4158.0,4160.0,229.28
1550991600000,4160.0,4163.09,4153.14,4163.07,114.16
1550995200000,4163.08,4163.09,4127.83,4132.92,185.57
1550998800000,4132.66,4142.0,4120.72,4132.5,142.61
1551002400000,4132.49,4139.95,4130.0,4137.07,86.28
1551006000000,4137.07,4138.57,4131.0,4132.25,129.59
1551009600000,4132.24,4133.0,4100.57,4108.01,288.8
1551013200000,4108.01,4118.6,4060.68,4084.05,584.77
1551016800000,4084.05,4084.34,3718.0,3795.0,4625.31
1551020400000,3795.0,3824.24,3776.01,3782.0,1287.66
1551024000000,3782.0,3788.82,3712.84,3759.12,1785.37
1551027600000,3759.12,3785.0,3749.0,3761.0,584.31
1551031200000,3761.0,3787.9,3755.0,3781.0,488.54
1551034800000,3781.0,3781.0,3768.4,3773.01,289.69
1551038400000,3773.4,3786.0,3770.41,3786.0,283.73
1551042000000,3786.0,3806.24,3781.01,3788.37,839.44
1551045600000,3788.37,3788.37,3741.79,3762.01,802.98
